
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003824                       # Number of seconds simulated (Second)
simTicks                                   3823739000                       # Number of ticks simulated (Tick)
finalTick                                  3823739000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.91                       # Real time elapsed on the host (Second)
hostTickRate                                123721360                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2270872                       # Number of bytes of host memory used (Byte)
simInsts                                     10000005                       # Number of instructions simulated (Count)
simOps                                       11441045                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   323561                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     370187                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7647479                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16655526                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14499602                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30208                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5215799                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12750579                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 524                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7560068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.917920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.947519                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2468231     32.65%     32.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1360543     18.00%     50.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1248399     16.51%     67.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    921007     12.18%     79.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    656085      8.68%     88.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    453476      6.00%     94.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    261579      3.46%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    107938      1.43%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     82810      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7560068                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   23126     12.26%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.26% # attempts to use FU when none available (Count)
