
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003143                       # Number of seconds simulated (Second)
simTicks                                   3142576000                       # Number of ticks simulated (Tick)
finalTick                                  3142576000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.62                       # Real time elapsed on the host (Second)
hostTickRate                                127635340                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257796                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11814314                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   406147                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     479835                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6285153                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15874777                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13700522                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  75019                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4060545                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12151040                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6266028                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.186476                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.072720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1821762     29.07%     29.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    913073     14.57%     43.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1169235     18.66%     62.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    797673     12.73%     75.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    667670     10.66%     85.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    387285      6.18%     91.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    265754      4.24%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     94277      1.50%     97.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    149299      2.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6266028                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   36752     83.33%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.33% # attempts to use FU when none available (Count)
